,is_binding_SARS-CoV2_WT,is_neutral_SARS-CoV2_WT,is_nanobody,name
1258,1,1,0,P186-1H2
1259,1,1,0,P195-2A3
1260,1,1,0,P104-1G2
1261,1,1,0,P5S-1D8
1262,1,1,0,P2-1D5
1263,1,1,0,P2S-2A6
1264,1,1,0,P5S-3D10
1265,1,1,0,P2-2H8
1266,1,1,0,P2S-1H6
1267,1,1,0,P2-1G1
1268,1,1,0,P195-2B8
1269,1,1,0,P195-2A1
1270,1,1,0,P5-1A7
1271,1,1,0,P2-1G7
1272,1,1,0,P5S-2G9
1273,1,1,0,P2-1G9
1274,1,1,0,P5S-1B11
1275,1,1,0,P186-2C12
1276,1,1,0,P186-2A8
1277,1,1,0,P2S-2E8
1278,1,1,0,P10S-1G4
1279,1,1,0,P195-1B8
1280,1,1,0,P5-2B9
1281,1,1,0,P195-2B9
1282,1,1,0,P5S-2G8
1283,1,1,0,VAIN1WT_49
1284,1,1,0,VAIN1D_08
1285,1,1,0,VAIN1WT_51
1286,1,1,0,VAIN1WT_25
1287,1,1,0,VAIN1WT_26
1288,1,1,0,VAIN2D_06
1289,1,1,0,VAIN3WT_20
1290,1,1,0,VAIN2D_27
1291,1,1,0,VAIN3O_12
1292,1,1,0,VAIN1WT_15
1293,1,1,0,VAIN2D_12
1294,1,1,0,VAIN2D_17
1295,1,1,0,VAIN3O_37
1296,1,1,0,VAIN1WT_14
1297,1,1,0,VAIN2WT_33
1299,1,1,0,VAIN3WT_05
1300,1,1,0,VAIN1D_30
1301,1,1,0,VAIN3O_23
1302,1,1,0,VAIN2WT_23
1303,1,1,0,VAIN2D_48
1304,1,1,0,VAIN1D_25
1305,1,1,0,VAIN1WT_43
1306,1,1,0,VAIN1WT_39
1307,1,1,0,VAIN2WT_11
1309,1,1,0,VAIN2D_02
1310,1,1,0,VAIN1WT_41
1311,1,1,0,VAIN2WT_03
1312,1,1,0,VAIN3WT_01
1313,1,1,0,VAIN2WT_01
1314,1,1,0,VAIN1WT_09
1315,1,1,0,VAIN1D_03
1316,1,1,0,VAIN1WT_02
1317,1,1,0,VAIN1WT_06
1318,1,1,0,VAIN1WT_18
1319,1,1,0,VAIN1WT_32
1320,1,1,0,VAIN1WT_50
1321,1,1,0,VAIN1D_19
1322,1,1,0,VAIN2WT_29
1323,1,1,0,VAIN2D_28
1324,1,1,0,VAIN2D_25
1325,1,1,0,VAIN3O_09
1326,1,1,0,VAIN3O_15
1327,1,1,0,VAIN1D_05
1328,1,1,0,VAIN1D_22
1329,1,1,0,VAIN3WT_07
1330,1,1,0,VAIN3O_03
1331,1,1,0,VAIN3WT_13
1332,1,1,0,VAIN1D_10
1333,1,1,0,VAIN3WT_02
1334,1,0,0,VAIN2D_43
1335,1,1,0,VAIN3WT_21
1336,1,1,0,VAIN3O_08
1337,1,1,0,VAIN1D_02
1338,1,1,0,VAIN1D_21
1339,1,1,0,VAIN2WT_12
1340,1,1,0,VAIN1WT_36
1342,1,1,0,VAIN2D_16
1343,1,1,0,VAIN1D_06
1345,1,1,0,VAIN3O_10
1346,1,1,0,VAIN1WT_13
1347,1,1,0,VAIN1WT_46
1349,1,1,0,Feng_20A7
1350,1,1,0,Feng_21B6
1351,1,1,0,Feng_25F9
1352,1,1,0,Muthuraman_Ab80
1353,1,1,0,Langley_4G1-C2
1355,1,1,0,Langley_10G4
1356,1,0,0,Reddem_4-33
1358,1,1,0,Boonkrai_1D1
1359,1,1,0,P5S-2B10
1360,1,1,0,P5S-3B11
1361,1,1,0,P2S-2E9
1363,1,1,0,Deshpande_1249A8
1364,1,1,0,Hastie_1H2
1365,1,1,0,Hastie_2A10
1366,1,1,0,Hastie_1C3
1368,0,0,0,Silva_3A3
1369,1,1,0,RAY53
1370,1,1,0,Liu_12-16
1371,1,1,0,Liu_12-19
1373,1,1,0,17B10
1374,1,1,0,S728-1157
1375,1,1,0,S451-1140
1376,1,1,0,S626-161
1377,1,1,0,BA.2-13
1378,1,1,0,BA.2-23
1379,1,1,0,BA.2-36
1380,1,1,0,BA.2-10
1381,1,1,0,Ab847
1382,1,1,0,Ab709
1383,1,1,0,Ab712
1384,1,1,0,Ab765
1385,1,1,0,2G1
1387,1,1,0,scFv2-7
1392,1,1,0,7D1
1393,1,1,0,10H7
1394,1,1,0,14D2
1395,1,1,0,11C12
1396,1,1,1,Du_10D12
1397,1,1,0,1F
1400,1,1,0,IY-2A
1401,1,1,0,IS-9A
1402,1,0,0,FP-12A
1405,1,0,0,CC68.109
1406,1,1,0,CC95.108
1407,1,1,0,CC99.103
1408,1,0,0,CC25.106
1410,1,1,0,Fischer_mRBD1
1411,1,1,0,Fischer_mRBD2
1412,1,0,0,Fischer_mRBD3
1413,1,0,0,Fischer_mRBD4
1414,1,0,0,Fischer_mRBD5
1415,1,0,0,Fischer_mRBD6
1416,1,0,0,Fischer_mRBD7
1417,1,0,0,Fischer_mRBD10
1418,1,0,0,Fischer_mRBD11
1419,1,0,0,Fischer_mRBD12
1420,1,0,0,Fischer_mRBD14
1421,1,0,0,Fischer_mRBD15
1422,1,0,0,Fischer_mRBD16
1423,1,0,0,Fischer_mRBD17
1424,1,0,0,Fischer_mRBD18
1425,1,0,0,Fischer_mRBD19
1426,1,0,0,Fischer_mRBD20
1427,1,0,0,Fischer_mRBD21
1428,1,0,0,Fischer_mRBD22
1429,1,0,0,Fischer_mRBD23
1430,1,0,0,Fischer_mRBD24
1431,1,0,0,Fischer_mRBD25
1432,1,1,0,Fischer_hRBD1
1433,1,1,0,Fischer_hRBD2
1434,1,1,0,Fischer_hRBD3
1435,1,1,0,Fischer_hRBD4
1436,1,1,0,Fischer_hRBD5
1437,1,1,0,Fischer_hRBD6
1438,1,1,0,Fischer_hRBD8
1439,1,1,0,Fischer_hRBD9
1440,1,1,0,Fischer_hRBD10
1441,1,1,0,Fischer_hRBD11
1442,1,1,0,Fischer_hRBD12
1443,1,0,0,Fischer_hRBD13
1445,1,0,0,Fischer_hRBD15
1446,1,1,0,Fischer_hRBD16
1447,1,1,0,Fischer_hS1-1
1453,1,0,0,GAR1
1454,1,0,0,GAR3
1455,1,1,0,GAR4
1457,1,1,0,GAR6
1460,1,1,0,GAR11
1462,1,0,0,GAR13
1463,1,0,0,GAR14
1465,1,0,0,GAR16
1467,1,0,0,GAR18
1468,1,1,0,GAR20
1469,1,1,0,ZB8
1471,1,1,0,P3E6
1474,1,1,1,S43
1475,1,1,1,R14
1487,1,0,0,036-2C2
1488,1,0,0,036-1B1
1490,1,0,0,036-1E2
1492,1,0,0,036-1A10
1498,1,0,0,036-1F9
1499,1,0,0,036-15
1500,1,0,0,036-2D2
1502,1,0,0,036-35
1503,1,0,0,036-2B10
1506,1,0,0,034-2F10
1511,1,1,0,034-3
1514,1,1,0,034-32
1516,1,1,0,002-S12F5
1518,1,1,0,002-S13A6
1519,1,0,0,002-S13C1
1520,1,0,0,002-S13C4
1521,1,0,0,002-S13D5
1522,1,1,0,002-S13D6
1523,1,0,0,002-S11E4
1524,1,0,0,002-S11F2
1525,1,0,0,002-S11F3
1527,1,0,0,002-S14A4
1528,1,0,0,002-S14C4
1529,1,0,0,002-S14D2
1530,1,0,0,002-S14D3
1531,1,1,0,002-S13E1
1533,1,1,0,002-S13A2
1534,1,1,0,002-S13F5
1535,1,0,0,002-S13B6
1536,1,0,0,002-S13B2
1538,1,1,0,002-S21B10
1539,1,0,0,002-S21A10
1540,1,1,0,002-02
1544,1,1,0,002-S21E9
1545,1,0,0,002-S21E11
1546,1,1,0,002-S21F3
1548,1,0,0,002-S22A4
1551,1,0,0,002-S22C11
1552,1,1,0,002-S22D8
1554,1,0,0,002-43
1555,1,0,0,002-4
1557,1,1,0,002-13
1558,1,0,0,002-14
1559,1,1,0,002-18
1563,1,0,0,002-54
1566,1,0,0,002-58
1567,0,0,0,COVA309-03
1569,0,0,0,COVA309-10
1577,1,1,0,COVA309-35
1579,1,1,0,COVA309-38
1581,1,1,0,P2B4
1582,1,1,0,P1D9
1583,1,1,0,D29
1584,1,1,0,Ab159
1585,1,1,0,Ab188
1586,1,1,0,Ab326
1587,1,1,0,Ab354
1588,1,1,0,Ab445
1589,1,1,0,Ab496
1592,1,1,0,NIBIC-71
1593,1,1,0,7G7
1594,1,1,0,COV30-14
1595,1,1,0,COV89-22
1596,1,1,0,COV93-03
1597,1,1,0,Li_D2
1598,1,1,0,NA8
1599,1,1,0,NE12
1600,1,1,0,SARS2-57
1605,1,1,0,S2X324
1606,1,1,0,hu33
1608,1,1,0,Gorivitug
1612,1,1,0,R1-26
1613,1,1,0,R1-30
1614,1,1,0,R2-3
1615,1,1,0,R2-6
1616,1,1,0,R2-7
1622,1,1,0,S2X303
1624,1,1,0,Hale_204
1649,1,1,0,C2588
1650,1,1,0,C2593
1651,1,1,0,C2488
1652,1,1,0,C3102
1653,1,1,0,C2606
1654,1,1,0,C2655
1655,1,1,0,C3095
1656,1,1,0,C3055
1657,1,1,0,C3108
1658,1,1,0,C3083
1659,1,1,0,C3054
1660,1,1,0,C3060
1661,1,1,0,C3057
1662,1,1,0,C3123
1663,1,1,0,C3111
1664,1,1,0,C986
1665,1,1,0,C080
1666,1,1,0,C099
1667,1,1,0,C1002
1668,1,1,0,C1068
1669,1,1,0,C996
1670,1,1,0,C022
1671,1,1,0,C118
1672,1,1,0,C978
1673,1,1,0,C1047
1674,1,1,0,C971
1675,1,1,0,C1040
1676,1,1,0,C1049
1677,1,1,0,C963
1678,1,1,0,B1032
1679,1,1,0,B1037
1680,1,1,0,B2058
1681,1,1,0,B2006
1682,1,1,0,B1030
1683,1,1,0,B2014
1684,1,1,0,B1011
1685,1,1,0,B1012
1686,1,1,0,B1034
1687,1,1,0,B1026
1688,1,1,0,B2064
1689,1,1,0,EH3
1690,1,1,0,EH8
1693,1,1,0,Mb.02
1694,1,1,1,F6
1696,1,1,0,AZ229
1697,1,1,0,AZ021
1698,1,1,0,AZ022
1699,1,1,0,AZ023
1700,1,1,0,AZ024
1701,1,1,0,AZ025
1704,1,1,0,AZ028
1705,1,1,0,AZ029
1706,1,1,0,AZ030
1707,1,1,0,AZ031
1709,1,1,0,AZ033
1710,1,1,0,AZ034
1711,1,1,0,AZ035
1712,1,1,0,AZ036
1713,1,1,0,AZ037
1714,1,1,0,AZ038
1715,1,1,0,AZ039
1716,1,1,0,AZ041
1721,1,1,0,AZ014
1722,1,1,0,AZ015
1724,1,1,0,AZ017
1725,1,1,0,AZ018
1726,1,1,0,AZ019
1729,1,1,0,AZ202
1734,1,1,0,AZ207
1735,1,1,0,AZ208
1736,1,1,0,AZ209
1737,1,1,0,AZ210
1738,1,1,0,AZ211
1740,1,1,0,AZ213
1741,1,1,0,AZ214
1742,1,1,0,AZ215
1743,1,1,0,AZ216
1744,1,1,0,AZ217
1746,1,1,0,AZ219
1747,1,1,0,AZ220
1748,1,1,0,AZ001
1749,1,1,0,AZ002
1750,1,1,0,AZ003
1751,1,1,0,AZ004
1752,1,1,0,AZ005
1754,1,1,0,AZ007
1755,1,1,0,AZ221
1756,1,1,0,AZ222
1757,1,1,0,AZ223
1759,1,1,0,AZ225
1760,1,1,0,AZ226
1762,1,1,0,AZ228
1763,1,1,0,AZ231
1764,1,1,0,AZ232
1765,1,1,0,AZ233
1766,1,1,0,AZ235
1767,1,1,0,AZ236
1768,1,1,0,AZ237
1769,1,1,0,AZ238
1770,1,1,0,AZ239
1771,1,1,0,AZ240
1774,1,1,0,AZ243
1775,1,1,0,AZ244
1776,1,1,0,AZ245
1778,1,1,0,AZ042
1779,1,1,0,AZ043
1780,1,1,0,AZ044
1781,1,1,0,AZ045
1783,1,1,0,AZ047
1784,1,1,0,AZ048
1785,1,1,0,AZ049
1787,1,1,0,AZ051
1791,1,1,0,AZ055
1796,1,1,0,AZ060
1797,1,1,0,AZ061
1798,1,1,0,AZ062
1800,1,1,0,AZ064
1801,1,1,0,AZ065
1802,1,1,0,AZ066
1806,1,1,0,AZ071
1807,1,1,0,AZ072
1808,1,1,0,AZ073
1812,1,1,0,AZ077
1814,1,1,0,AZ079
1816,1,1,0,AZ081
1817,1,1,0,AZ082
1819,1,1,0,AZ084
1820,1,1,0,AZ085
1821,1,1,0,AZ086
1822,1,1,0,AZ087
1825,1,1,0,AZ091
1827,1,1,0,AZ093
1828,1,1,0,AZ094
1829,1,1,0,AZ095
1832,1,1,0,AZ098
1833,1,1,0,AZ099
1835,1,1,0,AZ101
1836,1,1,0,AZ102
1837,1,1,0,AZ103
1838,1,1,0,AZ104
1840,1,1,0,AZ106
1842,1,1,0,AZ108
1845,1,1,0,AZ247
1847,1,1,0,AZ249
1848,1,1,0,AZ250
1849,1,1,0,AZ251
1850,1,1,0,AZ252
1852,1,1,0,AZ254
1853,1,1,0,AZ255
1854,1,1,0,AZ256
1857,1,1,0,AZ259
1858,1,1,0,AZ260
1859,1,1,0,AZ261
1860,1,1,0,AZ262
1861,1,1,0,AZ263
1862,1,1,0,AZ264
1863,1,1,0,AZ265
1864,1,1,0,AZ266
1865,1,1,0,AZ267
1867,1,1,0,AZ269
1868,1,1,0,AZ270
1870,1,1,0,AZ272
1871,1,1,0,AZ273
1872,1,1,0,AZ274
1873,1,1,0,AZ275
1874,1,1,0,AZ276
1875,1,1,0,AZ277
1877,1,1,0,AZ279
1878,1,1,0,AZ280
1880,1,1,0,AZ282
1881,1,1,0,AZ283
1882,1,1,0,AZ284
1884,1,1,0,AZ286
1885,1,1,0,AZ287
1886,1,1,0,AZ288
1887,1,1,0,AZ289
1889,1,1,0,AZ291
1890,1,1,0,AZ292
1891,1,1,0,AZ293
1892,1,1,0,AZ294
1893,1,1,0,AZ295
1894,1,1,0,AZ296
1895,1,1,0,AZ297
1896,1,1,0,AZ298
1897,1,1,0,AZ299
1898,1,1,0,AZ300
1899,1,1,0,AZ301
1900,1,1,0,AZ302
1901,1,1,0,AZ303
1902,1,1,0,AZ335
1904,1,1,0,AZ338
1905,1,1,0,AZ339
1906,1,1,0,AZ340
1907,1,1,0,AZ341
1908,1,1,0,AZ342
1909,1,1,0,AZ343
1910,1,1,0,AZ344
1911,1,1,0,AZ345
1912,1,1,0,AZ346
1920,1,1,0,AZ354
1921,1,1,0,AZ355
1923,1,1,0,AZ357
1925,1,1,0,AZ359
1926,1,1,0,AZ360
1927,1,1,0,AZ361
1928,1,1,0,AZ362
1929,1,1,0,AZ363
1930,1,1,0,AZ364
1931,1,1,0,AZ365
1932,1,1,0,AZ366
1934,1,1,0,AZ368
1935,1,1,0,AZ369
1936,1,1,0,AZ370
1937,1,1,0,AZ371
1938,1,1,0,AZ377
1939,1,1,0,AZ378
1940,1,1,0,AZ379
1941,1,1,0,AZ380
1942,1,1,0,AZ381
1943,1,1,0,AZ382
1944,1,1,0,AZ383
1945,1,1,0,AZ384
1946,1,1,0,AZ385
1947,1,1,0,AZ386
1948,1,1,0,AZ387
1949,1,1,0,AZ388
1950,1,1,0,AZ389
1951,1,1,0,AZ390
1952,1,1,0,AZ391
1953,1,1,0,AZ392
1954,1,1,0,AZ393
1955,1,1,0,AZ394
1956,1,1,0,AZ395
1957,1,1,0,AZ396
1959,1,1,0,AZ398
1960,1,1,0,AZ399
1961,1,1,0,AZ400
1962,1,1,0,AZ401
1963,1,1,0,AZ402
1964,1,1,0,AZ403
1965,1,1,0,AZ404
1966,1,1,0,AZ405
1967,1,1,0,AZ406
1968,1,1,0,AZ407
1969,1,1,0,AZ408
1970,1,1,0,AZ409
1971,1,1,0,AZ410
1972,1,1,0,AZ411
1973,1,1,0,AZ412
1974,1,1,0,AZ413
1975,1,1,0,AZ414
1976,1,1,0,AZ416
1977,1,1,0,AZ417
1978,1,1,0,AZ418
1981,1,1,0,X01
1982,1,1,0,X10
1983,1,1,0,X17
1989,1,1,0,SW186
1992,1,1,0,ADI-62113
1994,0,0,0,COV77-04
1995,0,0,0,COV77-39
1997,1,0,0,COV44-79
1998,1,0,0,COV91-27
1999,1,0,0,COV44-62
2000,1,1,0,6M6
2001,1,1,1,Nb_1-20
2002,1,1,1,Nb_1-22
2003,1,1,1,Nb_2-28
2004,1,1,1,Nb_2-30
2005,1,1,1,Nb_2-31
2006,1,1,1,Nb_2-32
2007,1,1,1,Nb_2-35
2008,1,1,1,Nb_2-43
2009,1,1,1,Nb_2-55
2010,1,1,1,Nb_2-57
2011,1,0,1,Nb_2-63
2012,1,0,0,S2B2
2013,1,0,0,S2B5
2014,1,0,0,S2B7
2015,1,0,0,S2E6
2016,1,0,0,S2E7
2017,1,0,0,S2F6
2018,1,0,0,S2G1
2019,1,0,0,S2G9
2020,1,0,0,S2H12
2021,1,0,0,S2110#
2022,1,1,0,XK01
2023,1,1,0,XK02
2024,1,1,0,6I18
2025,1,1,0,3D13
2026,1,1,0,10C2
2027,1,1,0,22H22
2028,1,1,0,M8a-3
2029,1,0,0,M8a-6
2034,1,1,0,M8a-28
2037,1,1,0,M8a-31
2038,1,1,0,M8a-34
2039,1,0,0,HSW-1
2040,1,0,0,HSW-2
2042,0,0,0,V003
2043,1,1,0,V004
2044,1,1,0,V007
2045,1,0,0,V008
2046,1,1,0,V009
2047,1,1,0,V010
2048,1,1,0,V011
2049,1,0,0,V013
2050,1,0,0,V014
2051,1,0,0,V015
2052,1,0,0,V016
2053,1,0,0,V017
2054,1,0,0,V018
2055,1,0,0,V019
2056,1,0,0,V020
2057,0,0,0,V021
2058,1,1,0,V022
2059,1,0,0,V024
2060,1,1,0,V025
2061,1,0,0,V026
2062,0,0,0,V027
2063,1,0,0,V028
2064,1,0,0,V029
2065,1,1,0,V031
2066,1,1,0,V032
2067,1,1,0,V033
2068,1,1,0,V037
2069,1,1,0,V038
2070,1,1,0,V039
2071,1,1,0,V041
2072,1,1,0,V042
2073,1,1,0,V043
2074,1,1,0,V044
2075,1,1,0,V045
2076,1,1,0,V046
2077,1,0,0,V048
2078,1,0,0,V049
2079,1,0,0,V050
2080,1,1,0,V051
2081,1,0,0,V053
2082,1,0,0,V054
2083,1,1,0,V055
2084,1,1,0,V056
2085,1,1,0,V057
2086,1,1,0,V060
2087,1,0,0,V061
2088,1,0,0,V062
2089,1,1,0,V063
2090,1,0,0,V064
2208,1,1,0,S309
2209,1,1,0,REGN10933
2210,1,1,0,REGN10987
2211,1,1,0,P2B-2F6
2212,1,1,0,H014
2213,1,1,0,COV2-2196
2214,1,1,0,COV2-2130
2215,1,1,0,S304
2216,1,1,0,S2H14
2217,1,1,0,S2H13
2218,1,1,0,S2A4
2219,1,1,0,P4A1
2220,1,1,0,P2C-1A3
2221,1,1,0,LY-CoV488
2222,1,1,0,LY-CoV481
2223,1,1,0,H4
2224,1,1,0,EY6A
2225,1,1,0,DH1047
2226,1,1,0,DH1041
2227,1,1,0,CV30
2228,1,1,0,CV07-270
2229,1,1,0,CV07-250
2230,1,0,0,CR3022
2231,1,1,0,COVOX-88
2232,1,1,0,COVOX-75
2233,1,0,0,COVOX-45
2234,1,1,0,COVOX-40
2235,1,1,0,COVOX-384
2236,1,1,0,COVOX-316
2237,1,1,0,COVOX-269
2238,1,1,0,COVOX-253H55L
2239,1,1,0,COVOX-253H165L
2240,1,1,0,COVOX-222
2241,1,1,0,COVOX-150
2242,1,1,0,COVA2-39
